timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,Cluster
1.68063E+12,451,HTTP Request 13 Large ,200,OK,Thread Group 1-8,text,true,,1997115,127,8,8,http://192.168.56.104/1950KB.txt,13,0,0,17
1.68063E+12,399,HTTP Request 8 Large ,200,OK,Thread Group 1-6,text,true,,1741115,127,8,8,http://192.168.56.104/1700KB.txt,15,0,0,17
1.68063E+12,453,HTTP Request 8 Small,200,OK,Thread Group 1-5,text,true,,409913,126,9,9,http://192.168.56.104/400KB.txt,232,0,0,8
1.68063E+12,395,HTTP Request 11 Medium,200,OK,Thread Group 1-8,text,true,,1229115,127,9,9,http://192.168.56.104/1200KB.txt,15,0,0,17
1.68063E+12,914,HTTP Request 12 Medium,200,OK,Thread Group 1-3,text,true,,1280315,127,9,9,http://192.168.56.104/1250KB.txt,7,0,0,19
1.68063E+12,939,HTTP Request 7 Large ,200,OK,Thread Group 1-4,text,true,,1689915,127,9,9,http://192.168.56.104/1650KB.txt,13,0,0,19
1.68063E+12,490,HTTP Request 7 Medium,200,OK,Thread Group 1-1,text,true,,1024314,127,9,9,http://192.168.56.104/1000KB.txt,68,0,0,20
1.68063E+12,250,HTTP Request 1 Small,200,OK,Thread Group 1-7,text,true,,51511,125,9,9,http://192.168.56.104/50KB.txt,250,0,0,8
1.68063E+12,536,HTTP Request 8 Medium,200,OK,Thread Group 1-9,text,true,,1075516,127,9,9,http://192.168.56.104/1050KB.txt,24,0,16,2
1.68063E+12,278,HTTP Request 2 Large ,200,OK,Thread Group 1-6,text,true,,1433915,127,9,9,http://192.168.56.104/1400KB.txt,225,0,0,8
1.68063E+12,503,HTTP Request 10 Medium,200,OK,Thread Group 1-2,text,true,,1177915,127,9,9,http://192.168.56.104/1150KB.txt,53,0,0,20
1.68063E+12,394,HTTP Request 12 Medium,200,OK,Thread Group 1-1,text,true,,1280315,127,10,10,http://192.168.56.104/1250KB.txt,14,0,0,17
1.68063E+12,539,HTTP Request 8 Small,200,OK,Thread Group 1-5,text,true,,409913,126,10,10,http://192.168.56.104/400KB.txt,2,0,0,19
1.68063E+12,133,HTTP Request 1 Small,200,OK,Thread Group 1-10,text,true,,51512,125,10,10,http://192.168.56.104/50KB.txt,46,0,27,1
1.68063E+12,655,HTTP Request 5 Medium,200,OK,Thread Group 1-3,text,true,,921913,126,10,10,http://192.168.56.104/900KB.txt,7,0,0,19
1.68063E+12,448,HTTP Request 11 Large ,200,OK,Thread Group 1-2,text,true,,1894715,127,10,10,http://192.168.56.104/1850KB.txt,19,0,0,17
1.68063E+12,364,HTTP Request 9 Small,200,OK,Thread Group 1-6,text,true,,461113,126,10,10,http://192.168.56.104/450KB.txt,19,0,0,17
1.68063E+12,715,HTTP Request 8 Large ,200,OK,Thread Group 1-4,text,true,,1741115,127,10,10,http://192.168.56.104/1700KB.txt,2,0,0,19
1.68063E+12,462,HTTP Request 7 Medium,200,OK,Thread Group 1-7,text,true,,1024314,127,10,10,http://192.168.56.104/1000KB.txt,13,0,0,17
1.68063E+12,632,HTTP Request 13 Medium,200,OK,Thread Group 1-9,text,true,,1331515,127,10,10,http://192.168.56.104/1300KB.txt,6,0,0,19
1.68063E+12,116,HTTP Request 10 Small,200,OK,Thread Group 1-5,text,true,,512313,126,10,10,http://192.168.56.104/500KB.txt,24,0,0,17
1.68063E+12,585,HTTP Request 12 Medium,200,OK,Thread Group 1-8,text,true,,1280315,127,10,10,http://192.168.56.104/1250KB.txt,28,0,0,19
1.68063E+12,106,HTTP Request 12 Small,200,OK,Thread Group 1-3,text,true,,614713,126,10,10,http://192.168.56.104/600KB.txt,12,0,0,17
1.68063E+12,121,HTTP Request 5 Medium,200,OK,Thread Group 1-4,text,true,,921913,126,10,10,http://192.168.56.104/900KB.txt,13,0,0,17
1.68063E+12,87,HTTP Request 3 Large ,200,OK,Thread Group 1-1,text,true,,1485115,127,10,10,http://192.168.56.104/1450KB.txt,18,0,0,17
1.68063E+12,116,HTTP Request 12 Medium,200,OK,Thread Group 1-9,text,true,,1280315,127,10,10,http://192.168.56.104/1250KB.txt,10,0,0,17
1.68063E+12,156,HTTP Request 4 Large ,200,OK,Thread Group 1-2,text,true,,1536315,127,10,10,http://192.168.56.104/1500KB.txt,8,0,0,17
1.68063E+12,98,HTTP Request 3 Medium,200,OK,Thread Group 1-6,text,true,,819513,126,10,10,http://192.168.56.104/800KB.txt,10,0,0,17
1.68063E+12,85,HTTP Request 11 Small,200,OK,Thread Group 1-7,text,true,,563513,126,10,10,http://192.168.56.104/550KB.txt,18,0,0,17
1.68063E+12,214,HTTP Request 14 Large ,200,OK,Thread Group 1-8,text,true,,2048315,127,10,10,http://192.168.56.104/2000KB.txt,10,0,0,17
1.68063E+12,73,HTTP Request 5 Medium,200,OK,Thread Group 1-10,text,true,,921913,126,10,10,http://192.168.56.104/900KB.txt,12,0,0,17
1.68063E+12,53,HTTP Request 6 Medium,200,OK,Thread Group 1-11,text,true,,973114,126,11,11,http://192.168.56.104/950KB.txt,5,0,2,17
1.68063E+12,46,HTTP Request 10 Small,200,OK,Thread Group 1-3,text,true,,512313,126,11,11,http://192.168.56.104/500KB.txt,4,0,0,17
1.68063E+12,104,HTTP Request 5 Medium,200,OK,Thread Group 1-5,text,true,,921913,126,11,11,http://192.168.56.104/900KB.txt,1,0,0,17
