 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  79480 156640  17068 301972    0    0     0     0  699  210  0 47 53  0  0
 1  0  79480 156896  17068 301976    0    0     0     8  679  282  0 82 18  0  0
 0  0  79480 157472  17076 301968    0    0     0    24  766  244  0 64 36  0  0
 1  0  79480 157056  17076 301980    0    0     0     0  998  295  0 90 10  0  0
 6  0  79480 155136  17076 301980    0    0     0     0  891  205  0 56 44  0  0
 4  0  79480 153504  17076 301980    0    0     0     0  967  288  0 91  9  0  0
 1  0  79480 157472  17076 301984    0    0     0     0  630  171  0 56 44  0  0
 1  0  79480 156832  17084 301976    0    0     0    16  733  249  0 56 44  0  0
 3  0  79480 156608  17084 301988    0    0     0     0  712  246  0 69 31  0  0
 1  0  79480 156128  17084 301988    0    0     0     0  791  222  0 67 33  0  0
 0  0  79480 157472  17084 301992    0    0     0     0  579  218  0 69 31  0  0
 0  0  79480 157472  17084 301992    0    0     0     0  539  173  0 47 53  0  0
 0  0  79480 157472  17092 301984    0    0     0    16  728  278  0 92  8  0  0
 1  0  79480 156768  17092 301996    0    0     0     0  596  184  0 40 60  0  0
 3  0  79480 152736  17092 301996    0    0     0     0  838  249  0 67 33  0  0
 4  0  79480 156576  17092 302000    0    0     0     0  713  178  0 66 34  0  0
 1  0  79480 157028  17092 302000    0    0     0     0  550  201  0 57 43  0  0
 0  0  79480 157124  17100 301996    0    0     0    16  492  269  0 71 28  1  0
 4  0  79480 155780  17100 302004    0    0     0     0  757  225  0 59 41  0  0
 2  0  79480 156484  17100 302004    0    0     0     0  912  256  0 80 20  0  0
 0  0  79480 157156  17100 302008    0    0     0     0  839  224  0 57 43  0  0
 2  0  79480 155268  17100 302008    0    0     0     0  925  321  0 87 13  0  0
 1  0  79480 156644  17116 301996    0    0     0   120  648  215  0 59 41  0  0
 2  0  79480 152060  17116 302012    0    0     0     0  722  272  0 72 28  0  0
 2  0  79480 156356  17116 302016    0    0     0     0  540  181  0 57 43  0  0
 2  0  79480 157156  17116 302016    0    0     0     0 1021  276  0 76 24  0  0
 2  0  79480 156548  17116 302016    0    0     0     0  700  219  0 63 37  0  0
 5  1  79480 155620  17124 302012    0    0     0    16 1129  270  0 78 22  0  0
 0  0  79480 157156  17124 302020    0    0     0     0  702  291  0 71 29  0  0
 0  0  79480 157156  17124 302024    0    0     0     0  497  181  0 41 59  0  0
 1  0  79480 155004  17124 302024    0    0     0     0  693  304  0 85 15  0  0
 1  0  79480 156836  17124 302028    0    0     0     0  602  231  1 61 38  0  0
 2  0  79480 154916  17124 302028    0    0     0     4  779  274  0 74 26  0  0
 3  0  79480 155588  17132 302032    0    0     0    16  567  206  0 56 44  0  0
 3  0  79480 156708  17132 302032    0    0     0     0  771  266  0 64 36  0  0
 0  0  79480 157156  17132 302032    0    0     0     0  787  256  0 58 42  0  0
 1  0  79480 154852  17132 302036    0    0     0     0  695  249  0 69 31  0  0
 0  0  79480 155076  17132 302036    0    0     0     0  550  259  0 54 46  0  0
 1  0  79480 154596  17140 302036    0    0     0    16  588  199  0 51 49  0  0
 0  0  79480 155108  17140 302040    0    0     0     0  863  318  0 85 15  0  0
 1  0  79480 154404  17140 302040    0    0     0     0  637  224  0 51 49  0  0
 5  0  79480 153444  17140 302044    4    0     4     0  667  266  0 73 27  0  0
 4  0  79480 152484  17140 302044    0    0     0     0  603  195  0 48 52  0  0
 6  0  79480 152644  17152 302032    0    0     0    72 1152  325  0 97  3  0  0
 2  0  79480 154820  17152 302048    0    0     0     0  576  238  0 73 27  0  0
 2  0  79480 154916  17152 302048    0    0     0     0 1343  309  0 88 12  0  0
 0  0  79480 155076  17152 302052    0    0     0     0  510  220  0 57 43  0  0
 4  0  79480 154884  17152 302056    0    0     0     0  744  230  1 60 39  0  0
 0  0  79480 155108  17160 302052    0    0     0    16  801  312  0 89 11  0  0
 0  0  79480 155108  17160 302060    0    0     0     0  566  222  0 65 35  0  0
 8  0  79480 152396  17160 302064    0    0     0     0 1000  257  0 60 40  0  0
 3  0  79480 154628  17160 302064    0    0     0     0  630  235  0 62 38  0  0
 7  0  79480 152484  17160 302064    0    0     0     0 1045  288  0 68 32  0  0
 0  0  79480 155076  17168 302060    0    0     0    16  423  250  0 52 48  0  0
 1  0  79480 155076  17168 302068    0    0     0     0  874  259  0 65 35  0  0
 0  0  79480 155076  17168 302072    0    0     0     0  504  281  0 65 35  0  0
 2  0  79480 154212  17168 302072    0    0     0     0  839  240  0 62 38  0  0
 0  0  79480 155076  17168 302076    0    0     0     0  468  254  0 79 21  0  0
 2  0  79480 154468  17176 302068    0    0     0    16  607  210  0 58 42  0  0
 0  0  79480 155108  17176 302076    0    0     0     0 1083  297  0 92  8  0  0
 3  0  79480 153316  17176 302080    0    0     0     0  656  193  0 41 59  0  0
 3  0  79480 152644  17176 302080    0    0     0     0  912  259  0 75 25  0  0
 0  0  79480 155076  17176 302084    0    0     0     0  486  179  0 51 49  0  0
 0  0  79480 155108  17184 302076    0    0     0    32  776  236  0 62 38  0  0
 0  0  79480 155108  17184 302084    0    0     0     0  490  240  0 66 34  0  0
 2  0  79480 154404  17184 302088    0    0     0     0  748  215  0 53 47  0  0
 0  0  79480 155108  17184 302088    0    0     0     0  679  267  0 83 17  0  0
 0  0  79480 155108  17184 302092    0    0     0     0  794  259  0 64 36  0  0
 2  0  79480 152356  17192 302084    0    0     0    36  531  298  0 63 37  0  0
 1  0  79480 153700  17192 302096    0    0     0     0  706  208  0 65 35  0  0
 1  0  79480 153732  17192 302096    0    0     0     0  667  246  0 51 49  0  0
 0  0  79480 155076  17192 302100    0    0     0     0  642  155  0 45 55  0  0
 1  0  79480 155012  17192 302100    0    0     0     0  823  249  0 80 20  0  0
 1  0  79480 153412  17204 302088    0    0     0    96  614  258  0 65 34  1  0
 8  0  79480 151244  17204 302104    0    0     0     0 1205  256  0 78 22  0  0
 2  0  79480 154504  17204 302104    0    0     0     0  684  259  0 100  0  0  0
 0  0  79480 154856  17204 302108    0    0     0     0  675  194  0 53 47  0  0
 4  0  79480 150336  17204 302108    0    0     0     0  975  297  0 92  8  0  0
 0  0  79480 154856  17212 302100    0    0     0    16  653  207  0 63 37  0  0
 2  0  79480 154024  17212 302112    0    0     0     0  961  250  0 70 30  0  0
 0  0  79480 154856  17212 302112    0    0     0     0  726  159  0 47 53  0  0
 0  0  79480 154856  17212 302116    0    0     0     0  929  261  0 79 21  0  0
 1  0  79480 152808  17212 302116    0    0     0     0  562  269  0 72 28  0  0
 3  0  79480 153416  17220 302112    0    0     0    16  807  269  0 68 31  1  0
 2  0  79480 153960  17220 302120    0    0     0     0  469  257  0 72 28  0  0
 0  0  79480 154824  17220 302120    0    0     0     0  674  209  0 54 46  0  0
 1  0  79480 151784  17220 302124    0    0     0     0  663  298  0 77 23  0  0
 2  0  79480 152680  17220 302124    0    0     0     0  806  203  0 63 37  0  0
 2  0  79480 152744  17228 302120    0    0     0    16  748  254  0 82 18  0  0
 0  0  79480 154760  17228 302128    0    0     0     0  466  182  0 46 54  0  0
 1  0  79480 154504  17228 302128    0    0     0     0  498  187  0 51 49  0  0
 2  0  79480 153896  17228 302132    0    0     0     0  733  268  0 71 29  0  0
 2  0  79480 154760  17228 302132    0    0     0     0  965  247  0 72 28  0  0
 1  0  79480 154792  17236 302128    0    0     0    16  566  241  0 51 49  0  0
 0  0  79480 154792  17236 302136    0    0     0    40  649  200  0 57 43  0  0
 2  0  79480 152392  17236 302140    0    0     0     0  513  259  0 88 12  0  0
 2  0  79480 154088  17236 302140    0    0     0     0  674  241  0 93  7  0  0
 2  0  79480 152264  17236 302144    0    0     0     0  548  221  0 63 37  0  0
 2  1  79480 154472  17248 302172    0    0    28    36  431  199  0 66 34  0  0
 4  0  79480 154280  17248 302176    0    0     0    16  634  209  0 65 35  0  0
 0  0  79480 154792  17248 302180    0    0     0     0  499  243  0 73 27  0  0
 3  0  79480 154664  17248 302180    0    0     0     0 1008  259  0 78 22  0  0
 0  0  79480 154760  17248 302184    0    0     0     0  616  291  0 79 21  0  0
 0  0  79480 154792  17248 302184    0    0     0     0  498  184  0 62 38  0  0
 1  0  79480 154760  17256 302184    0    0     0    16  678  309  0 83 17  0  0
 2  0  79480 154056  17256 302188    0    0     0     0  539  185  0 54 46  0  0
 2  0  79480 150144  17256 302188    0    0     0     0  845  290  0 82 18  0  0
 1  0  79480 154184  17256 302192    0    0     0     0  517  189  0 60 40  0  0
 1  0  79480 153800  17256 302192    0    0     0     0 1263  332  0 91  9  0  0
 1  0  79480 154568  17264 302196    0    0     0    48  650  255  0 84 16  0  0
 1  0  79480 154344  17264 302196    0    0     0     0  896  274  0 77 23  0  0
 0  0  79480 154792  17264 302200    0    0     0     0  419  249  0 90 10  0  0
 1  0  79480 154536  17264 302200    0    0     0     0  524  202  0 49 51  0  0
 3  0  79480 152520  17264 302204    0    0     0     0  687  382  0 98  2  0  0
 2  0  79480 154632  17276 302204    0    0     0    36  383  223  0 64 36  0  0
 5  0  79480 151048  17276 302204    0    0     0     0  836  270  0 92  8  0  0
 3  0  79480 154536  17276 302208    0    0     0     0  378  239  0 74 26  0  0
 6  0  79480 152680  17276 302208    0    0     0     0  578  219  0 68 32  0  0
