 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  97368 186528  13144 290692    0    0     0     0  311  239  0 100  0  0  0
 1  0  97368 188368  13152 290696    0    0     0    32  507  246  0 70 30  0  0
 2  0  97368 187328  13152 290696    0    0     0     0  961  315  0 100  0  0  0
 6  0  97368 186936  13152 290700    0    0     0    40  991  251  0 69 31  0  0
 2  0  97368 186768  13152 290704    0    0     0     0  632  310  0 91  9  0  0
 3  0  97368 185232  13152 290704    0    0     0     0  648  205  0 72 28  0  0
 4  0  97368 187540  13160 290780    0    0    92    16  409  296  0 70 30  0  0
 0  0  97368 188788  13160 290796    0    0     0     0  396  210  0 64 36  0  0
 1  0  97368 185364  13160 290796    0    0     0     8 1052  296  0 84 16  0  0
 1  0  97368 188628  13160 290800    0    0     0     0  394  223  0 85 15  0  0
 3  0  97368 188436  13160 290800    0    0     0     0  616  243  0 75 25  0  0
 2  0  97368 187372  13168 290808    0    0     0    40  417  238  0 88 12  0  0
 1  0  97368 187188  13168 290808    0    0     0    56  745  244  1 84 15  0  0
 1  0  97368 188660  13168 290812    0    0     0     0  669  266  0 91  9  0  0
 4  0  97368 187476  13168 290812    0    0     0     0  724  194  0 69 31  0  0
 3  0  97368 186452  13168 290812    0    0     0     0  709  266  0 92  8  0  0
 0  0  97368 188788  13180 290816    0    0     0    36  461  204  0 61 39  0  0
 2  0  97368 187316  13180 290816    0    0     0     0  332  237  0 79 21  0  0
 3  0  97368 187668  13180 290820    0    0     0     0  655  229  1 75 24  0  0
 2  0  97368 187860  13180 290820    0    0     0     0  696  225  0 83 17  0  0
 0  0  97368 188820  13180 290824    0    0     0   248  432  246  0 81 19  0  0
 1  0  97368 188404  13188 290824    0    0     0    24  789  257  0 97  3  0  0
 2  0  97368 185044  13188 290828    0    0     0     0  636  262  0 81 19  0  0
 3  0  97368 187732  13188 290828    0    0     0     0  405  287  0 69 31  0  0
 4  0  97368 187796  13188 290828    0    0     0     0  499  212  0 71 29  0  0
 0  0  97368 188756  13188 290832    0    0     0     0  357  175  0 47 53  0  0
 1  0  97368 185708  13196 290832    0    0     0    24  536  250  0 73 27  0  0
 1  0  97368 188500  13196 290836    0    0     0     0  421  241  0 78 22  0  0
 2  0  97368 188244  13196 290836    0    0     0     0  584  219  0 67 33  0  0
 0  0  97368 188756  13196 290840    0    0     0     0  564  258  0 96  4  0  0
 0  0  97368 188756  13196 290840    0    0     0     0  567  217  0 66 34  0  0
 3  0  97368 187252  13204 290832    0    0     0    16  518  278  0 79 21  0  0
 1  0  97368 186452  13204 290844    0    0     0     0  412  182  0 68 32  0  0
 1  0  97368 186700  13204 290844    0    0     0     0  543  232  0 73 27  0  0
 2  0  97368 188052  13204 290848    0    0     0     0  401  147  0 52 48  0  0
 0  0  97368 188724  13204 290848    0    0     0     0  441  290  0 70 30  0  0
 3  0  97368 188108  13212 290844    0    0     0    60  507  265  0 84 16  0  0
 1  0  97368 188244  13212 290960    0    0   112     0  532  228  0 68 32  0  0
 2  0  97368 188172  13212 290964    0    0     0     0  452  219  0 89 11  0  0
 0  0  97368 188756  13212 290968    0    0     0     4  843  238  0 84 16  0  0
 1  0  97368 186052  13212 290968    0    0     0     0  530  291  0 95  5  0  0
 2  0  97368 186708  13220 290964    0    0     0    16  537  239  0 69 31  0  0
 1  0  97368 185828  13220 290972    0    0     0    56  740  284  0 78 22  0  0
 2  0  97368 188460  13220 290972    0    0     0     0  341  156  0 48 52  0  0
 0  0  97368 188724  13220 290976    0    0     0     0  429  252  0 85 15  0  0
 1  0  97368 188596  13220 290980    0    0     0     0  638  239  0 80 20  0  0
 2  0  97368 186324  13232 290968    0    0     0    36  526  207  0 66 34  0  0
 1  0  97368 188468  13232 290980    0    0     0     0  449  279  0 86 14  0  0
 0  0  97368 188756  13232 290984    0    0     0     0  593  186  0 65 35  0  0
 0  0  97368 188724  13232 290984    0    0     0     0  561  285  0 85 15  0  0
 2  0  97368 187988  13232 290984    0    0     0     0  501  189  0 59 41  0  0
 1  0  97368 187604  13240 290980    0    0     0    16  504  291  0 77 23  0  0
 2  0  97368 188116  13240 290988    0    0     0     0  604  193  0 59 41  0  0
 0  0  97368 188756  13240 290992    0    0     0     0  446  291  0 69 31  0  0
 2  0  97368 187860  13240 290996    0    0     0     0  480  244  0 76 24  0  0
 3  0  97368 188116  13240 290996    0    0     0     0  765  243  0 74 26  0  0
 1  0  97368 188628  13240 291000    0    0     0     0  376  244  1 79 20  0  0
 0  0  97368 188756  13248 291000    0    0     0    16  445  189  0 61 39  0  0
 1  0  97368 184676  13248 291004    0    0     0     0  486  271  0 90 10  0  0
 4  0  97368 187924  13248 291004    0    0     0     0  462  259  0 82 18  0  0
 2  0  97368 183048  13248 291004    4    0     4     0  510  243  0 82 18  0  0
 3  0  97368 187512  13248 291012    0    0     0     0  384  253  0 93  7  0  0
 2  0  97368 187960  13256 291012    0    0     0    16  696  287  0 78 22  0  0
 2  0  97368 188248  13256 291016    0    0     0     0  639  238  0 68 32  0  0
 2  0  97368 186648  13256 291016    0    0     0     0  888  279  0 79 21  0  0
 2  0  97368 185724  13256 291016    0    0     0     0 1179  304  0 100  0  0  0
 2  0  97368 188220  13256 291020    0    0     0     0  371  202  0 66 34  0  0
 3  0  97368 186412  13264 291024    0    0     0    16  322  242  0 94  6  0  0
 3  0  97368 186780  13264 291024    0    0     0     0  627  226  0 83 17  0  0
 2  0  97368 182684  13264 291024    0    0     0     0  405  215  0 86 14  0  0
 3  0  97368 187612  13264 291028    0    0     0     8  415  216  0 100  0  0  0
 2  0  97368 186524  13264 291028    0    0     0     0  718  285  1 83 16  0  0
 0  0  97368 188252  13272 291032    0    0     0    48  668  269  0 82 18  0  0
 3  0  97368 186588  13272 291032    0    0     0    56  532  198  0 45 55  0  0
 0  0  97368 188220  13272 291036    0    0     0     0  667  249  0 86 14  0  0
 2  0  97368 187132  13272 291036    0    0     0     0  618  193  0 69 31  0  0
 0  0  97368 188252  13272 291036    0    0     0     0  535  279  0 93  7  0  0
 2  0  97368 188188  13284 291040    0    0     0    36  571  187  0 68 32  0  0
 3  0  97368 186652  13284 291040    0    0     0     0  779  279  0 82 18  0  0
 8  0  97368 185436  13284 291044    0    0     0     0  676  218  0 67 33  0  0
 3  0  97368 187324  13284 291044    0    0     0     0  678  245  0 78 22  0  0
 0  0  97368 188252  13284 291048    0    0     0     0  460  209  0 58 42  0  0
 3  0  97368 186140  13292 291048    0    0     0    16  546  259  0 75 25  0  0
 2  0  97368 187772  13292 291048    0    0     0     0  832  299  0 87 13  0  0
 4  0  97368 186556  13292 291052    0    0     0     0  513  184  0 63 38  0  0
 0  0  97368 188252  13292 291052    0    0     0     0  724  274  0 72 28  0  0
 0  0  97368 188252  13292 291056    0    0     0     0  503  202  0 65 35  0  0
 9  0  97368 184860  13300 291056    0    0     0    16  662  254  0 84 16  0  0
 2  0  97368 185596  13300 291056    0    0     0     0  495  202  0 67 33  0  0
 3  0  97368 187612  13300 291060    0    0     0     0  782  237  0 75 25  0  0
 0  0  97368 188252  13300 291060    0    0     0     0  461  187  0 58 42  0  0
